,County,Median Sale Price,Average Sale Price
573,Litchfield,259081.92,358196.26
574,Litchfield,290379.54,362426.8
575,Litchfield,312326.83,380183.13
576,Litchfield,324664.06,415184.42
577,Litchfield,335637.71,417236.43
578,Litchfield,319339.57,410474.64
579,Litchfield,315573.47,398802.05
580,Litchfield,288301.69,381907.89
581,Litchfield,274341.13,387253.78
582,Litchfield,279211.1,385914.03
583,Litchfield,244677.23,313210.57
584,Litchfield,274204.67,381184.58
585,Litchfield,306478.76,379523.23
586,Litchfield,330871.97,405173.24
587,Litchfield,273954.48,347325.91
588,Litchfield,281460.09,371056.04
589,Litchfield,258317.81,344830.19
590,Litchfield,270670.78,349846.78
591,Litchfield,261757.88,348751.7
592,Litchfield,273954.48,324746.39
593,Litchfield,265823.42,406425.94
594,Litchfield,241430.21,284218.33
595,Litchfield,213909.67,272075.68
596,Litchfield,227101.51,292895.52
597,Litchfield,203005.13,307466.7
598,Litchfield,232166.5,313886.87
599,Litchfield,202047.6,253755.94
600,Litchfield,238441.27,288705.24
601,Litchfield,276089.89,328152.72
602,Litchfield,260402.97,372496.59
603,Litchfield,239696.23,330938.98
604,Litchfield,262222.65,338813.14
605,Litchfield,257265.58,331210.48
606,Litchfield,229656.59,348529.21
607,Litchfield,232166.5,305790.75
608,Litchfield,236762.66,345346.4
609,Litchfield,208363.48,545082.46
610,Litchfield,236453.97,402543.74
611,Litchfield,227193.37,325215.23
612,Litchfield,254913.43,350620.93
613,Litchfield,240158.21,357109.7
614,Litchfield,217006.71,321636.88
615,Litchfield,266705.26,368929.86
616,Litchfield,275965.86,380505.64
617,Litchfield,237688.72,366726.79
618,Litchfield,239540.84,389684.83
619,Litchfield,233367.1,324409.95
620,Litchfield,239431.98,449342.87
621,Litchfield,224467.48,357480.53
622,Litchfield,223210.47,340115.85
623,Litchfield,233446.18,284319.84
624,Litchfield,233386.33,343352.57
625,Litchfield,240629.14,299638.5
626,Litchfield,263375.18,311067.95
627,Litchfield,218481.68,311145.33
628,Litchfield,206450.23,273991.76
629,Litchfield,214291.63,293157.44
630,Litchfield,231949.73,307621.61
631,Litchfield,206929.09,272627.91
632,Litchfield,190294.04,312160.97
633,Litchfield,190587.25,246308.11
634,Litchfield,175926.69,231592.79
635,Litchfield,201289.46,262943.27
636,Litchfield,234568.92,308749.92
637,Litchfield,216976.25,287861.1
638,Litchfield,208179.92,282625.46
639,Litchfield,228118.28,278438.08
640,Litchfield,199383.58,273857.49
641,Litchfield,210994.75,264128.1
642,Litchfield,194105.78,298866.39
643,Litchfield,197858.89,297674.16
644,Litchfield,198814.71,243626.23
645,Litchfield,188411.61,254946.4
646,Litchfield,189567.51,263487.05
647,Litchfield,199392.66,251312.1
648,Litchfield,219620.9,298468.81
649,Litchfield,217829.25,338160.31
650,Litchfield,228001.17,366271.53
651,Litchfield,247073.51,336403.11
652,Litchfield,219042.95,310715.69
653,Litchfield,195347.01,284859.79
654,Litchfield,213841.4,310185.88
655,Litchfield,204016.25,300553.31
656,Litchfield,183823.75,254087.38
657,Litchfield,179728.66,251462.56
658,Litchfield,210441.79,300872.87
659,Litchfield,182003.71,244480.42
660,Litchfield,214309.37,297894.74
661,Litchfield,235751.68,306247.14
662,Litchfield,202479.13,288215.9
663,Litchfield,216129.4,264800.03
664,Litchfield,213854.36,314917.1
665,Litchfield,199066.56,293374.71
666,Litchfield,195085.23,297603.69
667,Litchfield,200204.08,332991.05
668,Litchfield,173830.47,227905.77
669,Litchfield,161276.05,308517.5
670,Litchfield,188032.31,299833.52
671,Litchfield,182919.65,267927.36
672,Litchfield,223820.94,292904.71
673,Litchfield,212033.41,335500.47
674,Litchfield,220412.5,267587.42
675,Litchfield,198768.9,265351.64
676,Litchfield,204449.63,278860.56
677,Litchfield,198825.7,254830.73
678,Litchfield,194849.19,336182.89
679,Litchfield,199961.85,296652.23
680,Litchfield,185062.03,278227.18
681,Litchfield,173337.88,216155.07
682,Litchfield,185118.12,242325.34
683,Litchfield,196337.4,260706.85
684,Litchfield,209800.54,321643.76
685,Litchfield,213166.32,290331.43
686,Litchfield,229434.28,307335.04
687,Litchfield,223263.67,295231.89
688,Litchfield,208678.61,274392.08
689,Litchfield,206995.72,275066.32
690,Litchfield,200264.15,282621.51
691,Litchfield,199142.22,274658.07
692,Litchfield,184539.4,317321.32
693,Litchfield,202663.81,255455.48
694,Litchfield,181244.05,252033.48
695,Litchfield,208156.05,326913.93
696,Litchfield,202726.97,264320.32
697,Litchfield,200466.91,257871.35
698,Litchfield,219689.76,270187.16
699,Litchfield,225072.16,281909.84
700,Litchfield,190031.65,232988.05
701,Litchfield,241548.89,322261.59
702,Litchfield,219689.76,271566.03
703,Litchfield,210902.17,255297.43
704,Litchfield,189001.13,223828.83
705,Litchfield,173023.17,249496.0
706,Litchfield,168841.01,212747.68
707,Litchfield,195703.3,236337.06
708,Litchfield,212056.59,278301.94
709,Litchfield,215220.02,318542.47
710,Litchfield,231090.75,281550.47
711,Litchfield,211815.31,258319.1
712,Litchfield,211252.33,249032.61
713,Litchfield,212324.68,282966.85
714,Litchfield,187660.7,258863.74
715,Litchfield,198598.64,271000.6
716,Litchfield,183741.32,287299.31
717,Litchfield,157989.09,200632.95
718,Litchfield,184320.61,242291.54
